index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
5174,0,CC(C)c1cccc(C(C)C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,599.4668862,643.7079986,0.789350773,0.899298197,42.36127576,0.000390854,0.002674232,0,0,9.122586552,3.383321506,8.920831551,6.791505679,3.537517616,6.164397403,0.07786995
5174,1,CC(C)c1cccc(C(C)C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,596.9671373,640.9571723,0.80173197,0.699454153,43.57314029,0.017423672,0.118786404,0,0,9.130810569,3.338526399,9.000341159,6.789290452,3.488078438,6.366619777,0.07784957
5174,2,CC(C)c1cccc(C(C)C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,593.1684269,641.293363,0.800607995,0.699454153,45.68581427,0.020089155,0.136949816,0,0,9.129514537,3.332250919,8.995155807,6.78944347,3.47216697,6.373524116,0.07798565
5174,3,CC(C)c1cccc(C(C)C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,602.5652367,644.8243106,0.748462542,0.999220218,43.21804358,0.013774523,0.094446959,0,0,9.094182954,3.274240204,8.895623545,6.794007285,3.714740405,8.854168348,0.09572909
5174,4,CC(C)c1cccc(C(C)C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,607.6625923,649.3027323,0.7470765,1.199064262,43.83918224,0.005970244,0.040948475,0,0,9.093990184,3.266648326,8.861612227,6.794475496,3.70525435,8.642990583,0.09512243
5171,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1-c1ccccc1,552.0356359,591.7721703,0.737240263,3.297426721,36.8645658,0.079396975,0.535176127,0.960022431,1.133144849,9.137920174,4.160270949,8.854960016,6.768088523,3.58878406,7.127219819,0.07822879
5171,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1-c1ccccc1,555.0344383,593.3439523,0.736710306,3.697114808,37.06435411,0.078045995,0.52584485,1.020023833,1.192554397,9.137670979,4.174596527,8.871500899,6.768605441,3.608599987,7.132453444,0.07797731
5171,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1-c1ccccc1,552.9348118,593.2962404,0.736652069,3.097582677,36.136781,0.0776861,0.523322834,0.980022898,1.15313535,9.137438395,4.179230143,8.875144578,6.768588591,3.619587317,7.133745776,0.07783611
5171,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1-c1ccccc1,557.0317005,594.9357097,0.756400252,2.597972568,38.25173168,0.082480478,0.557909806,0.190004439,0.255162169,9.114841827,3.267123799,8.98464828,6.787698561,3.235060116,7.001820979,0.07393399
5171,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1-c1ccccc1,558.9392202,595.2643586,0.721661852,3.597192786,36.69014144,0.078286285,0.529476763,1.300030375,1.432252156,9.178060895,3.451874153,8.635063439,6.773824252,4.062794699,7.505761339,0.08586077
5190,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(C(F)(F)F)c1,499.5383512,532.8871092,0.750489191,3.996880874,33.91998688,0.023733805,0.159728077,2.940068694,3.591528943,9.143366434,3.218708078,9.16165364,6.822279915,3.207909204,7.280068498,0.08123205
5190,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(C(F)(F)F)c1,505.5369877,534.5479956,0.755136508,4.196724918,36.46454972,0.010319067,0.069504477,0.460010748,0.518762908,9.110792365,3.243772668,9.092938013,6.819496301,3.227026377,6.661639591,0.08549964
5190,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(C(F)(F)F)c1,503.4371464,534.9442108,0.750139769,4.596413005,34.68279737,0.023614694,0.158926698,2.940068694,3.525491531,9.143344401,3.218582573,9.161232644,6.822191798,3.207670442,7.278773753,0.08124399
5190,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(C(F)(F)F)c1,504.5349163,535.3692605,0.750075708,4.296646939,34.24663279,0.02368615,0.159426766,2.980069629,3.57841752,9.142137463,3.217218437,9.159943254,6.822345222,3.210486575,7.272817771,0.08131879
5190,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc(C(F)(F)F)c1,502.835868,534.5554218,0.750396012,4.596413005,34.86828213,0.02370455,0.159523826,2.940068694,3.567823245,9.144366601,3.217894148,9.162164738,6.822145,3.20712953,7.284022135,0.08121377
