index,smiles
0,c1ccc(CNc2cc3ccc2OCCCCCCCCCCO3)cc1
1,Cc1ccccc1-c1c(O)cccc1O
2,Oc1cccc(O)c1-c1ccccc1COCc1ccccc1
3,COCc1ccccc1-c1c(O)cccc1O
4,COc1ccc(-c2c(O)cccc2O)c2ccccc12
5,Oc1cccc(O)c1-c1ccc(F)c2ccccc12
6,Cc1ccc(-c2c(O)cccc2O)c2ccccc12
7,Oc1cccc(O)c1-c1cc2ccccc2c2ccccc12
8,Oc1cccc(O)c1-c1ccccc1Cl
9,C=C/C=C/c1ccccc1
10,C/C(=C\CCOCc1ccccc1)c1ccccc1
11,O=C(C/C=C/c1ccccc1)OCc1ccccc1
12,C=C/C(C)=C/c1ccccc1
13,O=C(O)CC/C=C/c1ccccc1
14,C=C(c1ccccc1)C1(O)CCC1
15,Oc1ccc2ccccc2c1C#CCCc1ccccc1
16,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1cc(Nc3ccc(F)cc3)cc(c1OCCC)Cc1cccc(c1OCCC)C2
17,c1ccc(Nc2cccc(Nc3ccccc3)c2-c2cccc3ccccc23)cc1
18,COc1cc2ccc1OCCCCCCCCCCO2
19,Oc1cc2ccc1OCCCCCCCCCCO2
20,CC(C)(C)c1cc(-c2ccccc2)cc(-c2ccccc2)c1NC1=CC(=O)c2ccccc2C1=O
21,CC1=C(C)C(=O)C(Nc2c(-c3ccccc3)cc(-c3ccccc3)cc2C(C)(C)C)=CC1=O
22,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
23,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
24,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
25,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
26,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1
27,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1
28,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)Oc2ccc3c(c2-c2c(ccc4c2CCCC4)O1)CCCC3
29,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)Oc2ccc3c(c2-c2c(ccc4c2CCCC4)O1)CCCC3
30,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)N1C)CCCC3
31,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)N1C)CCCC3
32,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)N(C)c2cccc3c2C2(CC3)CCc3cccc(c32)N1C
33,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2cccc3c2C2(CC3)CCc3cccc(c32)N1C
34,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)Oc2cccc3c2C2(CO3)COc3cccc(c32)O1
35,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2C(F)(F)F)Oc2cccc3c2C2(CO3)COc3cccc(c32)O1
36,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
37,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N(C)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
38,CC(C)N(C(c1ccccc1)c1ccccc1)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
39,CC(C)N([C@H]1CCCc2ccccc21)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
40,CC(C)N([C@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
41,CC(C)[C@@H](c1ccccc1)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
42,CC(C)N([C@H](c1ccccc1)C(F)(F)F)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
43,C[C@H](c1ccccc1)N([C@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
44,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N(Cc1ccccc1)Cc1ccccc1
45,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N1c2ccccc2C=Cc2ccccc21
46,CC(C)N(C(C)(C)c1ccccc1)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
47,CC[C@H](c1ccccc1)N(C(C)C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
48,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N1C(C)(C)CCCC1(C)C
49,CN(C)P1(=[S+]Sc2ccccc2C(F)(F)F)N(c2ccccc2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1c1ccccc1
50,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1C(F)(F)F)N1CCCc2ccccc21
51,C[C@H](c1ccc2ccccc2c1)N([C@H](C)c1ccc2ccccc2c1)P1(=[S+]Sc2ccccc2C(F)(F)F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
52,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C)c1
53,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)Oc3ccc4ccccc4c3-c3c(ccc4ccccc34)O2)c(C)c1
54,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)Oc3c(-c4ccccc4)cc4ccccc4c3-c3c(c(-c4ccccc4)cc4ccccc34)O2)c(C)c1
55,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)Oc3c(C)cc4ccccc4c3-c3c(c(C)cc4ccccc34)O2)c(C)c1
56,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)Oc3c(OC)cc4ccccc4c3-c3c(c(OC)cc4ccccc34)O2)c(C)c1
57,CCOc1cc2ccccc2c2c1OP(=[Se+]Sc1c(C)cc(OC)cc1C)(N(C(C)C)C(C)C)Oc1c(OCC)cc3ccccc3c1-2
58,COc1cc(C)c(S[Se+]=P2(N(C(C)C)C(C)C)Oc3c(OCc4ccccc4)cc4ccccc4c3-c3c(c(OCc4ccccc4)cc4ccccc34)O2)c(C)c1
59,CCC(C)N(C(C)CC)P1(=[Se+]Sc2c(C)cc(OC)cc2C)Oc2c(OC)cc3ccccc3c2-c2c(c(OC)cc3ccccc23)O1
60,CCOc1cc2ccccc2c2c1OP(=[Se+]Sc1c(C)cc(OC)cc1C)(N(C(C)CC)C(C)CC)Oc1c(OCC)cc3ccccc3c1-2
61,[2H]C([2H])([2H])Oc1cc2ccccc2c2c1OP(=[Se+]Sc1c(C)cc(OC)cc1C)(N(C(C)C)C(C)C)Oc1c(OC([2H])([2H])[2H])cc3ccccc3c1-2
